region,zone,district,llin_2017,llin_2018,llin_2019,llin_2020
region_11,zone_70,district_163,0,0,59469,0
region_11,zone_27,district_200,0,0,20105,0
region_11,zone_58,district_245,0,0,12256,0
region_11,zone_01,district_168,0,32893,0,0
region_11,zone_53,district_055,0,0,59950,0
region_11,zone_20,district_204,0,35241,0,0
region_11,zone_28,district_190,0,0,20493,0
region_11,zone_28,district_034,0,11119,0,0
region_11,zone_53,district_087,0,0,12957,0
region_11,zone_20,district_081,0,0,41012,0
region_11,zone_28,district_160,0,0,55085,0
region_11,zone_53,district_117,0,0,16234,0
region_11,zone_28,district_167,0,0,0,15669
region_11,zone_16,district_240,0,0,10408,0
region_11,zone_01,district_041,0,0,17923,0
region_11,zone_44,district_096,0,0,41271,0
region_11,zone_28,district_258,0,0,19211,0
region_11,zone_28,district_171,0,0,17698,0
region_11,zone_28,district_170,0,0,4264,0
region_11,zone_01,district_194,0,0,72317,0
region_11,zone_54,district_159,0,0,4921,0
region_11,zone_28,district_038,0,10211,5082,0
region_11,zone_44,district_068,0,0,10408,0
region_11,zone_27,district_165,0,0,24274,0
region_11,zone_66,district_112,0,0,6175,0
region_11,zone_58,district_119,0,0,9142,0
region_11,zone_01,district_069,0,0,5506,0
region_11,zone_44,district_158,0,0,30022,0
region_11,zone_20,district_056,0,0,58533,0
region_11,zone_53,district_260,0,0,56817,0
region_08,zone_23,district_180,0,0,0,71927
region_08,zone_48,district_077,0,0,0,7126
region_08,zone_42,district_045,0,0,0,0
region_08,zone_83,district_004,0,0,0,8709
region_08,zone_05,district_147,0,0,0,63357
region_08,zone_42,district_225,0,14757,0,0
region_08,zone_60,district_140,0,0,0,7089
region_08,zone_48,district_142,0,77628,0,0
region_08,zone_82,district_198,0,0,0,0
region_08,zone_23,district_146,0,0,0,84954
region_08,zone_25,district_052,23772,0,0,0
region_08,zone_78,district_264,0,0,0,0
region_08,zone_84,district_172,47721,0,0,0
region_08,zone_84,district_201,0,0,25153,0
region_08,zone_05,district_177,0,0,0,7655
region_08,zone_82,district_223,0,0,0,129738
region_08,zone_24,district_107,0,0,0,52392
region_08,zone_82,district_046,0,13041,0,0
region_08,zone_83,district_039,15604,0,0,0
region_08,zone_82,district_024,52255,0,0,0
region_08,zone_45,district_186,0,0,0,41270
region_08,zone_48,district_025,0,0,0,28581
region_08,zone_23,district_145,46672,0,0,0
region_08,zone_75,district_268,0,0,0,37276
region_08,zone_10,district_048,0,0,0,68780
region_08,zone_24,district_059,0,0,19765,0
region_08,zone_84,district_130,15840,0,0,0
region_08,zone_13,district_134,61233,0,0,0
region_08,zone_75,district_293,0,0,0,41885
region_08,zone_42,district_053,7059,0,0,0
region_08,zone_75,district_176,0,137125,0,0
region_08,zone_48,district_254,0,0,0,61148
region_08,zone_12,district_286,0,0,0,53276
region_08,zone_24,district_006,0,105296,0,0
region_08,zone_81,district_065,0,0,0,21078
region_08,zone_83,district_071,0,0,19905,0
region_08,zone_84,district_237,0,0,0,32953
region_08,zone_05,district_222,0,0,0,17025
region_08,zone_23,district_169,0,0,0,17664
region_08,zone_83,district_099,0,0,0,77220
region_08,zone_84,district_206,0,7838,0,0
region_08,zone_13,district_076,0,0,85492,0
region_08,zone_83,district_020,0,0,0,37248
region_08,zone_13,district_094,32055,0,0,0
region_08,zone_05,district_075,0,0,0,142978
region_08,zone_84,district_213,0,0,0,104567
region_08,zone_60,district_289,0,0,0,124715
region_08,zone_81,district_273,0,52700,0,0
region_08,zone_05,district_183,0,0,0,15517
region_08,zone_84,district_143,35083,0,0,0
region_08,zone_81,district_108,0,8344,0,0
region_08,zone_82,district_105,0,0,28703,0
region_08,zone_45,district_138,52179,0,0,0
region_08,zone_21,district_086,25345,0,0,0
region_08,zone_45,district_208,0,0,0,26586
region_08,zone_05,district_243,0,0,0,11467
region_08,zone_60,district_089,0,0,59192,22853
region_08,zone_83,district_021,2105,0,0,10523
region_08,zone_48,district_298,0,0,0,31468
region_08,zone_78,district_259,0,0,20871,0
region_08,zone_82,district_157,0,0,0,71802
region_08,zone_75,district_150,0,0,0,22500
region_08,zone_60,district_296,0,0,0,97442
region_08,zone_35,district_010,0,0,0,17616
region_08,zone_05,district_280,0,0,35374,0
region_08,zone_12,district_297,0,0,0,27165
region_08,zone_45,district_093,0,0,0,11120
region_08,zone_78,district_030,0,0,0,124159
region_08,zone_82,district_135,0,0,0,62644
region_08,zone_45,district_218,15974,0,0,0
region_08,zone_45,district_013,0,0,0,19634
region_08,zone_05,district_265,0,18393,4133,0
region_08,zone_84,district_154,0,35718,0,0
region_08,zone_35,district_012,0,20732,0,37422
region_08,zone_35,district_284,0,0,0,11986
region_08,zone_41,district_181,0,0,0,23663
region_08,zone_24,district_144,0,0,0,43117
region_08,zone_23,district_037,0,0,0,0
region_08,zone_30,district_251,0,136872,0,0
region_08,zone_41,district_155,0,0,0,12924
region_12,zone_47,district_285,0,0,0,30590
region_12,zone_67,district_299,0,0,0,36645
region_12,zone_11,district_092,0,0,0,5651
region_12,zone_57,district_221,0,0,0,22846
region_12,zone_11,district_234,0,0,0,12702
region_12,zone_47,district_054,0,0,0,0
region_12,zone_17,district_278,0,0,0,29770
region_12,zone_11,district_267,0,0,0,46615
region_12,zone_47,district_072,0,0,0,42118
region_12,zone_57,district_212,0,0,0,1757
region_12,zone_57,district_220,0,0,0,16005
region_12,zone_17,district_136,0,0,0,5923
region_12,zone_57,district_272,0,0,0,35034
region_12,zone_17,district_210,0,0,0,112602
region_12,zone_57,district_050,0,0,0,24043
region_12,zone_52,district_195,0,0,0,44878
region_03,zone_22,district_091,0,0,6300,0
region_03,zone_22,district_098,0,0,0,5839
region_03,zone_80,district_224,0,0,35284,0
region_03,zone_22,district_035,0,132715,0,0
region_03,zone_80,district_241,0,0,0,7978
region_03,zone_61,district_132,0,92318,0,0
region_03,zone_22,district_088,0,0,62650,0
region_03,zone_79,district_067,0,0,177027,0
region_03,zone_59,district_116,0,53548,0,0
region_03,zone_59,district_027,0,0,0,304
region_03,zone_74,district_216,0,0,105781,0
region_03,zone_08,district_126,0,0,58383,0
region_03,zone_64,district_043,0,0,147008,0
region_03,zone_22,district_226,0,0,58686,0
region_03,zone_61,district_287,40377,0,0,0
region_03,zone_59,district_276,0,0,11222,0
region_03,zone_74,district_062,0,0,42646,0
region_03,zone_80,district_005,50586,0,0,0
region_03,zone_08,district_026,0,62555,0,0
region_03,zone_59,district_123,0,0,3962,0
region_03,zone_74,district_203,0,37061,0,0
region_03,zone_72,district_111,0,22169,0,0
region_03,zone_74,district_189,0,0,0,55939
region_03,zone_79,district_095,0,0,0,355
region_03,zone_15,district_275,0,0,0,6261
region_03,zone_77,district_022,0,0,73148,0
region_03,zone_77,district_246,0,0,13782,0
region_03,zone_59,district_229,0,0,0,68028
region_03,zone_08,district_152,1183,0,0,389
region_03,zone_15,district_074,34713,0,0,11416
region_03,zone_64,district_070,10372,0,0,0
region_03,zone_79,district_184,0,18831,0,0
region_03,zone_61,district_202,79143,0,0,0
region_03,zone_59,district_266,0,0,23016,0
region_03,zone_74,district_250,0,136060,0,0
region_03,zone_15,district_294,0,0,67845,0
