region,zone,district,pop_2017,pop_2018,pop_2019,pop_2020
region_11,zone_70,district_163,101817.1787,105177.1456,108647.9914,112233.3751
region_11,zone_27,district_200,34445.75227,35582.46209,36756.68334,37969.65389
region_11,zone_58,district_245,25161.20355,25991.52326,26849.24353,27735.26857
region_11,zone_01,district_168,124756.9258,128873.9043,133126.7432,137519.9257
region_11,zone_53,district_055,128329.2794,132564.1456,136938.7624,141457.7416
region_11,zone_20,district_204,118413.9153,122321.5745,126358.1864,130528.0066
region_11,zone_28,district_190,35112.27421,36270.97926,37467.92158,38704.36299
region_11,zone_28,district_034,19438.80656,20080.28718,20742.93666,21427.45357
region_11,zone_53,district_087,21937.41371,22661.34837,23409.17286,24181.67557
region_11,zone_20,district_081,70245.80232,72563.91379,74958.52295,77432.15421
region_11,zone_28,district_160,94379.16781,97493.68035,100710.9718,104034.4339
region_11,zone_53,district_117,89183.86727,92126.93488,95167.12374,98307.63882
region_11,zone_28,district_167,52945.98711,54693.20468,56498.08044,58362.51709
region_11,zone_16,district_240,21152.72015,21850.75991,22571.83499,23316.70554
region_11,zone_01,district_041,30820.68902,31837.77175,32888.41822,33973.73602
region_11,zone_44,district_096,70710.8374,73044.29504,75454.75677,77944.76375
region_11,zone_28,district_258,32915.47228,34001.68287,35123.7384,36282.82177
region_11,zone_28,district_171,33302.29306,34401.26873,35536.5106,36709.21545
region_11,zone_28,district_170,15983.77442,16511.23898,17056.10987,17618.96149
region_11,zone_01,district_194,139354.0965,143952.7817,148703.2235,153610.4299
region_11,zone_54,district_159,10862.43741,11220.89785,11591.18748,11973.69666
region_11,zone_28,district_038,8152.991688,8422.040414,8699.967748,8987.066683
region_11,zone_44,district_068,26680.43151,27560.88575,28470.39498,29409.91801
region_11,zone_27,district_165,54545.97985,56345.99718,58205.41509,60126.19379
region_11,zone_66,district_112,13688.35445,14140.07015,14606.69246,15088.71331
region_11,zone_58,district_119,39635.10172,40943.06008,42294.18106,43689.88903
region_11,zone_01,district_069,15953.16882,16479.6234,17023.45097,17585.22485
region_11,zone_44,district_158,38880.1636,40163.20899,41488.59489,42857.71852
region_11,zone_20,district_056,100284.3482,103593.7317,107012.3249,110543.7316
region_11,zone_53,district_260,97346.21066,100558.6356,103877.0706,107305.0139
region_08,zone_23,district_180,115419.6674,119228.5164,123163.0575,127227.4384
region_08,zone_48,district_077,125835.7732,129988.3537,134277.9694,138709.1423
region_08,zone_42,district_045,61110.88097,63127.54005,65210.74887,67362.70358
region_08,zone_83,district_004,30161.81847,31157.15848,32185.34471,33247.46108
region_08,zone_05,district_147,167954.1792,173496.6672,179222.0572,185136.3851
region_08,zone_42,district_225,25085.5397,25913.36251,26768.50348,27651.86409
region_08,zone_60,district_140,89390.45506,92340.34008,95387.5713,98535.36116
region_08,zone_48,district_142,133555.1855,137962.5067,142515.2694,147218.2733
region_08,zone_82,district_198,209710.4191,216630.8629,223779.6814,231164.4108
region_08,zone_23,district_146,143441.6444,148175.2186,153065.0009,158116.1459
region_08,zone_25,district_052,45929.65338,47445.33195,49011.0279,50628.39182
region_08,zone_78,district_264,244100.9112,252156.2413,260477.3972,269073.1513
region_08,zone_84,district_172,84898.23316,87699.87485,90593.97072,93583.57175
region_08,zone_84,district_201,42861.44202,44275.8696,45736.9733,47246.29342
region_08,zone_05,district_177,202249.454,208923.686,215818.1676,222940.1671
